challenger,reference,horizon,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
lstm_own_era5_s0,ridge_own_era5,1,2.3492125200875957,1.345696430240861,3.5702401868504796,-3.94551711180798,0.0001671944059947433
lstm_own_era5_s0,ridge_own_era5,2,2.8543044747335156,2.106946010082385,3.6178099927990077,-6.91515808507436,9.828451506819468e-10
lstm_own_era5_s0,ridge_own_era5,3,1.6823000736367666,1.049997373966873,2.296573549145013,-5.1305196619495606,1.976847650253268e-06
lstmres_corr_top1_s0,lstm_own_era5_s0,1,0.6394433176768355,0.32489263097960935,0.9850259968834643,-4.559035963497574,1.7767123643482864e-05
lstmres_corr_top1_s0,lstm_own_era5_s0,2,1.3304647156896388,0.9394109079174099,1.824150699894545,-6.437390191585012,8.028979765763842e-09
lstmres_corr_top1_s0,lstm_own_era5_s0,3,1.2878128612599071,0.986538213063492,1.651678499772731,-6.682031365878298,2.8768386535751827e-09
lstmres_corr_top1_s1,lstm_own_era5_s1,1,1.1913608400961229,0.9637828386056372,1.4724364592106454,-9.97267989299244,8.453200345793026e-16
lstmres_corr_top1_s1,lstm_own_era5_s1,2,1.5632411012806213,1.2163265820725768,1.9901043064731148,-8.033463675330653,6.454674676370307e-12
lstmres_corr_top1_s1,lstm_own_era5_s1,3,1.3562392725706918,1.0296957202197237,1.717291198279009,-6.544171418811601,5.252830544811102e-09
lstmres_corr_top1_s0,ridge_corr_top1_era5,1,2.659766449387435,1.7282537644769038,3.703235631111183,-4.971005336739766,3.592729812910863e-06
lstmres_corr_top1_s0,ridge_corr_top1_era5,2,4.234864182764242,3.4308120166771996,5.070157378845066,-9.734893699946996,2.8164106448345745e-15
lstmres_corr_top1_s0,ridge_corr_top1_era5,3,3.1250976007129783,2.2771777648416385,3.993855322928181,-6.625767408827314,3.679568161355271e-09
lstm_corr_top1_era5_s0,lstm_own_era5_s0,1,0.30824164982669044,-0.27903780998598193,0.9529652796194573,-0.9747594181692754,0.3325464508383594
lstm_corr_top1_era5_s0,lstm_own_era5_s0,2,-1.4546849957062902,-2.1241223287848277,-0.7868839844905483,4.4002377004535,3.266220037106404e-05
lstm_corr_top1_era5_s0,lstm_own_era5_s0,3,-1.056798402971526,-1.699941023193663,-0.47275037992661684,3.307158986411548,0.0014133424786858945
lstmres_nbrin_corr_top1_s0,lstm_corr_top1_era5_s0,1,-0.46076898370550623,-0.6925086346395359,-0.2729283832990315,4.161671066606457,7.746909084787408e-05
lstmres_nbrin_corr_top1_s0,lstm_corr_top1_era5_s0,2,0.23193963114850336,0.003168793148181361,0.4739384426692053,-2.245981166718622,0.027428641518646924
lstmres_nbrin_corr_top1_s0,lstm_corr_top1_era5_s0,3,0.21517139325279988,-0.07741968479686057,0.54850592314844,-1.3032387927456477,0.19623165655778083
lstmres_nbrin_corr_top1_s0,ridge_corr_top1_era5,1,1.885290538788853,0.8268076670316025,2.9793228957058266,-3.4196563681165264,0.000979377684412358
lstmres_nbrin_corr_top1_s0,ridge_corr_top1_era5,2,1.7600841131755973,0.9216242249498505,2.5834844437881257,-4.479969851413664,2.4252350175363418e-05
lstmres_nbrin_corr_top1_s0,ridge_corr_top1_era5,3,1.0375236232639695,0.3005432697064134,1.8513707467607627,-2.569172996436186,0.012052015556440138
lstmres_own_s0,lstm_own_era5_s0,1,-1.0306884141424444,-1.413408495752485,-0.6707281603811521,6.17225180386988,2.444101165771186e-08
lstmres_own_s0,lstm_own_era5_s0,2,-1.4507282107558694,-1.8655293878346184,-1.0990477799653038,8.053761099818889,5.8867722816286996e-12
lstmres_own_s0,lstm_own_era5_s0,3,-1.8360878091001398,-2.324540273587215,-1.4134187276734569,7.2265073988639275,2.5964790571168433e-10
lstmres_own_s1,lstm_own_era5_s1,1,-1.2996803957404879,-1.7118855981609578,-0.9676455545185173,7.652874979884976,3.389007518700732e-11
lstmres_own_s1,lstm_own_era5_s1,2,-1.4451320655614053,-1.8500909578115752,-1.1230657242981672,8.063165724566558,5.640818185507094e-12
lstmres_own_s1,lstm_own_era5_s1,3,-1.9776624301066192,-2.582962776746999,-1.4809830605971577,6.618815374924199,3.793041402041301e-09
lstmres_corr_top1_s0,lstmres_own_s0,1,1.6530934887557414,1.079025959840418,2.2799348565463187,-6.409830394742262,8.709836629873908e-09
lstmres_corr_top1_s0,lstmres_own_s0,2,2.7414223391948433,2.0709883817938954,3.5510594592503892,-7.747334410168798,2.3586931798128206e-11
lstmres_corr_top1_s0,lstmres_own_s0,3,3.067577258285936,2.4513101677643734,3.808972885965569,-7.6965856595407285,3.1702303000734274e-11
lstmres_corr_top1_s1,lstmres_own_s1,1,2.4590810416232567,1.9843415684760453,3.0805012505825164,-9.505467425740752,7.119877369276113e-15
lstmres_corr_top1_s1,lstmres_own_s1,2,2.965517522218597,2.3566605586606872,3.7285182980288787,-8.392369397233603,1.2635662816194512e-12
lstmres_corr_top1_s1,lstmres_own_s1,3,3.2692470323707368,2.5869374535035563,4.092392631304979,-7.336269471465476,1.591917264503724e-10
lstmres_oof_corr_top1_s0,lstm_own_era5_s0,1,0.9100647731045131,0.5946041047087097,1.2580017801902061,-6.52934132424341,5.160899878507355e-09
lstmres_oof_corr_top1_s0,lstm_own_era5_s0,2,1.64360518933927,1.2882186069584185,2.1234888831462144,-7.8791054262514635,1.2994086483112523e-11
lstmres_oof_corr_top1_s0,lstm_own_era5_s0,3,1.5708195585166118,1.223150201369921,2.0035394462510885,-6.9562230179613955,8.610865084179463e-10
lstmres_oof_corr_top1_s1,lstm_own_era5_s1,1,1.4040305796125585,1.1075433620869073,1.8114765597796882,-8.106808795447828,4.292014425639256e-12
lstmres_oof_corr_top1_s1,lstm_own_era5_s1,2,1.693415226927275,1.31317443151537,2.1684213817184026,-7.874440033670682,1.3271534962779692e-11
lstmres_oof_corr_top1_s1,lstm_own_era5_s1,3,1.468492610892036,1.0446223613393903,1.970984781968203,-5.724673363772589,1.7412050845606558e-07
lstmres_oof_corr_top1_s0,lstmres_corr_top1_s0,1,0.2723630628327811,0.15619833887718926,0.3917259759842573,-5.063029094683841,2.4913884606600856e-06
lstmres_oof_corr_top1_s0,lstmres_corr_top1_s0,2,0.31736287471846314,0.11808711834097568,0.5094343843686326,-3.2667470732649915,0.001596463234450354
lstmres_oof_corr_top1_s0,lstmres_corr_top1_s0,3,0.28669884181468097,0.14168678980063992,0.44965530327700953,-3.453571506990252,0.0008872902578451098
lstmres_oof_corr_top1_s1,lstmres_corr_top1_s1,1,0.2152339525416047,0.0250003390571657,0.43084932031821915,-2.3342766592185673,0.022028212172966855
lstmres_oof_corr_top1_s1,lstmres_corr_top1_s1,2,0.1322413772080644,0.04918444982809411,0.22345768968131113,-3.2352722722444414,0.0017604800108487338
lstmres_oof_corr_top1_s1,lstmres_corr_top1_s1,3,0.11379669377317159,-0.11870192382155755,0.34936454727336974,-0.9512365356761331,0.3443494050089147
lstmres_oof_own_s0,lstm_own_era5_s0,1,-1.0365972715649985,-1.432605908335009,-0.6872958214169553,6.29262179682967,1.4512006762574895e-08
lstmres_oof_own_s0,lstm_own_era5_s0,2,-0.9309352670655135,-1.2019014386611464,-0.7188168967122867,8.881270038452001,1.3641744568744605e-13
lstmres_oof_own_s0,lstm_own_era5_s0,3,-1.5852453796666,-1.8712319305858927,-1.3109521260726187,10.891660934212096,1.817263063600745e-17
lstmres_oof_own_s1,lstm_own_era5_s1,1,-1.2370391067378916,-1.6048709110899988,-0.9305146224505411,8.31703297072813,1.642352815941383e-12
lstmres_oof_own_s1,lstm_own_era5_s1,2,-1.399523309463202,-1.740820035744179,-1.1102025315329613,8.993740563846934,8.174237148999161e-14
lstmres_oof_own_s1,lstm_own_era5_s1,3,-1.8280099573336317,-2.3022359574310154,-1.4065823636048147,6.927347078054246,9.782199180529492e-10
lstmres_corr_top1_hist12_s0,lstm_own_era5_s0,1,-0.7818014375752913,-1.6303186322819612,-0.09325377265404497,2.174039999306369,0.03258504620521566
lstmres_corr_top1_hist12_s0,lstm_own_era5_s0,2,-0.17722217872995216,-0.812318532851864,0.44766917512504545,0.5390599576164753,0.5913240808949333
lstmres_corr_top1_hist12_s0,lstm_own_era5_s0,3,-1.0346164607714758,-2.239021822538035,-0.04881562983110543,1.6899451134717658,0.09493193916645694
lstmres_corr_top1_hist12_s1,lstm_own_era5_s1,1,0.10373430895820324,-0.537684683029867,0.6157808839489758,-0.37590832293115317,0.7079558187275351
lstmres_corr_top1_hist12_s1,lstm_own_era5_s1,2,0.1284918848638128,-0.4755538873167042,0.6102664629883078,-0.43154005558864145,0.6672221792987033
lstmres_corr_top1_hist12_s1,lstm_own_era5_s1,3,-0.43674164139209104,-1.2212156660691504,0.1606402409043993,1.1389545946332174,0.25812114747325243
lstmres_corr_top1_hist12_s0,lstmres_corr_top1_s0,1,-1.430391296816258,-2.346496193674171,-0.6731247975117417,3.7490372930640725,0.00032946787814167353
lstmres_corr_top1_hist12_s0,lstmres_corr_top1_s0,2,-1.528016616350003,-2.249331421076401,-0.9550892830712594,4.690430511695224,1.0908103018273883e-05
lstmres_corr_top1_hist12_s0,lstmres_corr_top1_s0,3,-2.3527280565339037,-3.772082449978885,-1.2459969835785207,3.2906541369497386,0.0014883098770327903
lstmres_corr_top1_hist12_s1,lstmres_corr_top1_s1,1,-1.1007403202647037,-1.8572768970339975,-0.579317150688679,3.483142527418497,0.0007977238239708703
lstmres_corr_top1_hist12_s1,lstmres_corr_top1_s1,2,-1.4575339867630266,-2.3346010633188587,-0.7972221045680584,3.8877448936864667,0.00020612995680712907
lstmres_corr_top1_hist12_s1,lstmres_corr_top1_s1,3,-1.8176323578306341,-2.859183690091536,-1.0750331361121988,3.4871904047936675,0.0007959297790405475
